model,question,answer,raw_confidence,response_time_ms,had_error
T5-QA-Generative,What is your return policy?,absolutely,0.7,1891.4899826049805,False
T5-QA-Generative,How long does shipping take?,5-7 business days,0.7,629.1782855987549,False
T5-QA-Generative,What are your customer service hours?,9 AM to 6 PM EST,0.7,1859.691858291626,False
T5-QA-Generative,Do you offer warranty on products?,warranty may vary for other product categories,0.7,1243.75581741333,False
T5-QA-Generative,How can I track my order?,by contacting our support team within 2 hours of placing your order,0.7,964.7729396820068,False
T5-QA-Generative,What is the CEO's phone number?,get in touch with our support team,0.7,1210.216999053955,False
T5-QA-Generative,Will you have a Black Friday sale?,"unable to provide information about our current inventory, product descriptions, or shipping options",0.7,1344.62308883667,False
T5-QA-Generative,How do prices compare to Amazon?,shipping options available for GreenTech Marketplace orders,0.7,687.5219345092773,False
RoBERTa-SQuAD2,What is your return policy?,You can return any unopened item within 30 days of delivery for a full refund,0.23881793022155762,616.6470050811768,False
RoBERTa-SQuAD2,How long does shipping take?,5-7 business days,0.7828687374130823,59.42392349243164,False
RoBERTa-SQuAD2,What are your customer service hours?,9 AM to 6 PM EST,0.2791532017290592,64.70704078674316,False
RoBERTa-SQuAD2,Do you offer warranty on products?,Our solar panels come with a 3-year warranty,0.187269389629364,58.975934982299805,False
RoBERTa-SQuAD2,How can I track my order?,All our orders are shipped with tracking numbers,0.018735764548182487,59.243202209472656,False
RoBERTa-SQuAD2,What is the CEO's phone number?,Monday through Friday,2.6335135771660134e-05,62.39676475524902,False
RoBERTa-SQuAD2,Will you have a Black Friday sale?,I'm unable to provide information about our sales projections for next month,0.02206188067793846,55.783987045288086,False
RoBERTa-SQuAD2,How do prices compare to Amazon?,free standard shipping for orders over $75,0.0003113684360869229,62.808990478515625,False
BERT-Large-SQuAD,What is your return policy?,"You can return any unopened item within 30 days of delivery for a full refund, as long as it's in its original packaging",0.4022494852542877,2582.7672481536865,False
BERT-Large-SQuAD,How long does shipping take?,5-7 business days,0.48697627056390047,163.39683532714844,False
BERT-Large-SQuAD,What are your customer service hours?,Monday through Friday from 9 AM to 6 PM EST,0.21722090244293213,165.74907302856445,False
BERT-Large-SQuAD,Do you offer warranty on products?,Our solar panels come with a 3-year warranty,0.14856693148612976,182.2800636291504,False
BERT-Large-SQuAD,How can I track my order?,tracking numbers,0.2528546154499054,148.18882942199707,False
BERT-Large-SQuAD,What is the CEO's phone number?,get in touch with our support team,0.010243367403745651,159.23404693603516,False
BERT-Large-SQuAD,Will you have a Black Friday sale?,next month,0.028153428807854652,151.56102180480957,False
BERT-Large-SQuAD,How do prices compare to Amazon?,We offer standard shipping (5-7 business days) for free on orders over $75,0.0684906542301178,147.65596389770508,False
DynamicRAG-8B,What is your return policy?,". Can you tell me about your return policy? Absolutely! You can return any unopened item within 30 days of delivery for a full refund, as long as it's in its original packaging. Just reach out to our support team to initiate the",0.006769631989300251,2199.4471549987793,False
