product_name,category,price,description,features,rating
SmartPhone Pro,Electronics,899.99,"High-end smartphone with advanced AI features","5G, AI Camera, 128GB Storage",4.5
Laptop Ultra,Computers,1299.99,"Professional laptop for work and creativity","16GB RAM, 512GB SSD, 4K Display",4.7
Wireless Headphones,Electronics,199.99,"Premium noise-cancelling headphones","Bluetooth 5.0, 30hr Battery, ANC",4.3
Smart Watch,Electronics,299.99,"Fitness and health tracking smartwatch","Heart Rate, GPS, Waterproof",4.6
Tablet Pro,Computers,599.99,"Versatile tablet for productivity","10-inch Display, Stylus Support, 256GB",4.4
Camera DSLR,Electronics,1499.99,"Professional photography camera","24MP Sensor, 4K Video, Interchangeable Lenses",4.8
Gaming Console,Gaming,499.99,"Next-gen gaming console","4K Gaming, Ray Tracing, 1TB Storage",4.9
Smart Speaker,Electronics,129.99,"AI-powered voice assistant speaker","Voice Control, Music Streaming, Smart Home",4.2
Monitor 4K,Computers,399.99,"Ultra HD display for professionals","27-inch, 4K Resolution, HDR",4.5
Keyboard Mechanical,Computers,149.99,"Premium mechanical keyboard","RGB Backlight, Cherry MX Switches",4.4
